Rating,Review Count,Product URL
3.3 out of 5 stars,2,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A08599072MWNXFTLAOK40&url=%2FAsus-zenbook-3-Deluxe-UX490UA-BE045T%2Fdp%2FB07YLNBSMQ%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1624540817%26sr%3D8-17-spons%26psc%3D1&qualifier=1624540817&id=5489199899553659&widgetName=sp_atf_next
,N/A,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0592781D4F8DTGQE3DI&url=%2FRenewed-Lenovo-Hybrid-Thinkpad-Numeric%2Fdp%2FB08T9WP5PS%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1624540817%26sr%3D8-18-spons%26psc%3D1&qualifier=1624540817&id=5489199899553659&widgetName=sp_atf_next
3.8 out of 5 stars,186,https://www.amazon.in//ASUS-VivoBook-i3-1005G1-Integrated-X415JA-EK104T/dp/B08S4NF565/ref=sr_1_19?dchild=1&keywords=laptop&qid=1624540817&sr=8-19
4.1 out of 5 stars,871,https://www.amazon.in//HP-Laptop-15-6-inch-Windows-15s-fq2535TU/dp/B08XNYN5QV/ref=sr_1_20?dchild=1&keywords=laptop&qid=1624540817&sr=8-20
3.4 out of 5 stars,245,https://www.amazon.in//Lenovo-Ideapad-Windows-Platinum-81UT00KWIN/dp/B088RNS2BM/ref=sr_1_21?dchild=1&keywords=laptop&qid=1624540817&sr=8-21
3.9 out of 5 stars,142,https://www.amazon.in//ASUS-i5-1035G1-Integrated-Transparent-X415JA-EK085TS/dp/B08JMPT24V/ref=sr_1_22?dchild=1&keywords=laptop&qid=1624540817&sr=8-22
5.0 out of 5 stars,3,https://www.amazon.in//Lenovo-V15-ADA-15-6-inch-Windows-82C700H3IH/dp/B091KJHJT3/ref=sr_1_23?dchild=1&keywords=laptop&qid=1624540817&sr=8-23
4.3 out of 5 stars,45,https://www.amazon.in//Acer-Aspire-Intel-Generation-39-62/dp/B091YK7PRH/ref=sr_1_24?dchild=1&keywords=laptop&qid=1624540817&sr=8-24
3.7 out of 5 stars,61,https://www.amazon.in//Lenovo-10-1-inch-Touchscreen-Detachable-81H3S01S00/dp/B08P7M9Y59/ref=sr_1_25?dchild=1&keywords=laptop&qid=1624540817&sr=8-25
3.7 out of 5 stars,11,https://www.amazon.in//Lenovo-E41-45-82BF000EIH-A6-7350B-Warranty/dp/B08Q7Q3LZZ/ref=sr_1_26?dchild=1&keywords=laptop&qid=1624540817&sr=8-26
3.7 out of 5 stars,147,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0840301BQJTEOZYRIDF&url=%2FAcer-15-6-inch-Integrated-Graphics-A315-23%2Fdp%2FB088CG6812%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1624540817%26sr%3D8-27-spons%26psc%3D1&qualifier=1624540817&id=5489199899553659&widgetName=sp_mtf
